Date,User,Message
2026.2.18 18:46,박태현,전체 내용을 처음부터 정리해서 알려줘
2026.2.18 18:47,박태현,뭐가 뭔지 모르겠어
2026.2.18 18:47,박태현,여기부터~~
2026.2.18 18:49,박태준,"■ 시장 사이클
1.   비트코인
2.   반도체 (SOXX
3.   은행
4.   금 (GLD / GDXU)
코인 → 기술주 → 금융 → 안전자산 
이건 실제로 존재하는 흐름이라 방향성은 맞음.

________________________________________
3️⃣ VIX 급등 → GDXU 몰빵 전략
조건:
•   VIX 10% 이상 급등
•   Polymarket 하락 30%
•   GDXU 10퍼센트 상승까지 홀딩
•   GDXU 매도후 
수익으로 번돈 전부 GLD을 매수한다.
________________________________________
4️⃣ 숏포지션
숏포지션은 구축해야하는시기 
네이버 뉴스에 주식 최고가 강남 부동산 최고가 단어가 나올경우
주식에서 부동산으로 간것으로 유동성 부족으로 숏포지션을 구축해야한다.
조건 나스닥 최고가 s앤p 500 최고가 인경우 한해서 이다
네이버 뉴스에 부동산 최고가 부동산 상승 주식 부자 단어가 트래픽 증가시 포지션을 구축해야한다. 
이떄는 .롱포지션을 모두 멈추고 숏포지션으로 작동을한다.
전국 주택종합 가격 변동률 추이 - 부동산지표로한다.
예시로 평소 매매지수가 기존 평균보다 급등한경우에 한해서 무조건 숏포지션을 들어가야한다.

( * ) 다만 중요 부동산 선행지수가 꺽일경우 숏포지션을 분할 매도를 한다. 
마이너스 0.02이상 하락한 경우 한해서이다. 부동산 선행지수 하락
롱포지션 현금으로 사용한다.


.
숏포지션 구축
롱포지션 GDXU IAU GLD 현금을 제외한 모든 종목은 매도를 한다.
GDXU 100프로 구축을 한다. 
•   90% 상승까지 홀딩
•   GDXU 매도후 
수익으로 번돈 전부 IAU 매수한다.

숏 포지션 구축
전국 주택종합 가격 변동률 추이 - 부동산지표로한다. (선행지표로 삼는다.)

•   ________________________________________


6️⃣ 폭락시 레버리지 롱으로 크게 먹기 매수 매도 법 


CONL
•   1년 동안 최근 최고가 기준 
하락폭이 80 프로 이상인경우 80프로 매수 
3프로 하락시 나머지 50퍼센트 매수
5프로하락시 모든현금 매수 
•   188% 상승까지 홀딩
•   CONL 현금을 매도후 
•   수익으로 번돈 전부 CONL 번돈으로 30일기준으로 매일 한개씩 나눠서 매수한다.
________________________________________


SOXL 장기
•   3년 동안 최근 최고가 기준
•   하락폭이 최저가 90.5 퍼센트 의 폭락이 나온경우 80퍼센트 매수
•   5프로 하락시 나머지 모든 현금 매수한다.
•   320% 상승까지 홀딩 분할매도 6번을 나눠서 한다.
•   SOXL 을 매도후 
•   수익으로 번돈 전부 SOXL 번돈을 30일기준으로 매일 한개씩 나눠서 매수한다.________________________________________

AMDL 장기 
•   3년 동안 최근 최고가 기준
•   하락폭이 최저가 89퍼센트 의 폭락이 나온경우 50퍼센트 매수
•   5프로 하락시 나머지 모든 현금 매수한다.
•   40퍼센트 상승까지 홀딩
•   AMDL 매도후 분할매도 6번을 나눠서 한다.
•   
•   수익으로 번돈 전부 SOXL 번돈을 30일기준으로 매일 한개씩 나눠서 매수한다.

NVDL 장기
•   3년 동안 최근 최고가 기준
•   하락폭이 최저가 73퍼센트 폭락이 나온경우 50퍼센트 매수
•   5퍼센트로 하락시 나머지 모든 현금 매수한다.
•   NVDL 매도후 분할매도 6번을 나눠서 한다.
•   
•   상승시 200퍼센트
수익으로 번돈 전부 SOXL 번돈을 30일기준으로 매일 한개씩 나눠서 매수한다.

ROBN 장기
•   3년 동안 최근 최고가 기준
•   하락폭이 최저가 83퍼센트 하락이 나온경우 80퍼센트 매수
•   3퍼센트로 하락시 나머지 모든 현금 매수한다.
•   200퍼센트 상승시 
•   ROBN 매도후에 분할매도 6번을 나눠서 한다.

수익으로 번돈 전부 CONL 번돈을 30일기준으로 매일 한개씩 나눠서 매수한다.

ETHU
•   3년 동안 최근 최고가 기준
•   하락폭이 최저가 95퍼센트 하락이 나온경우 5퍼센트 매수
•   10퍼센트더 하락시 10퍼센트 더 매수를 한다. 
•   상승시 20퍼센트 분할매도 6번을 나눠서 한다.

ETHU 매도후 
수익으로 번돈 전부 ROBN  100일 기준 매일 한개씩 나눠서 매수한다.
"
2026.2.18 18:53,박태준,사진
2026.2.18 18:54,박태준,사진
2026.2.18 18:55,박태준,사진 1번 일반차트가 비트코인 2배숏 노란색 표시가 부동산 지표  2.번은 부동산지표
2026.2.18 18:55,박태준,부동산 지표가 먼저 올라가면 비트코인 떨어진다. 상관관계가있다. 
2026.2.18 18:56,박태준,마이너스 0.03 퍼센트지가 마이너스 될경우 급등이 생긴다. 상관관계가있다. 부동산 지표로 쓸 사이트를 모르겠네요..
2026.2.18 18:56,박태준,"( * ) 다만 중요 부동산 선행지수가 꺽일경우 숏포지션을 분할 매도를 한다. 
마이너스 0.02이상 하락한 경우 한해서이다. 부동산 선행지수 하락
롱포지션 현금으로 사용한다. 이부분 정정이요 분할매도를 하지않는다. (정정)"
