ticker,signal,thresh,direction,target,stop,hold,n,pnl,wr,avg
CONL,mstr_pct_ma20,5,above,15,-20,30,47,4479153,70.2,9.54
CONL,mstr_pct_ma20,5,above,15,-15,20,50,4467263,66.0,8.94
IREN,btc_rsi,40,above,30,-20,45,38,4256128,57.9,11.21
IREN,btc_pct_ma20,0,above,30,-20,45,29,4116552,65.5,14.21
IREN,btc_rsi,40,above,12,-10,20,92,4057189,57.6,4.41
CONL,mstr_pct_ma20,5,above,25,-15,20,40,3957703,55.0,9.9
CONL,btc_pct_ma20,0,above,25,-15,20,56,3951934,46.4,7.06
CONL,mstr_pct_ma20,0,above,15,-15,20,63,3946705,58.7,6.27
CONL,btc_pct_ma20,0,above,15,-15,20,65,3872182,56.9,5.96
CONL,btc_mstr_combo,55,above,15,-15,20,57,3849839,59.6,6.76
IREN,btc_rsi,40,above,25,-20,30,42,3793765,54.8,9.04
CONL,mstr_pct_ma20,0,above,25,-15,20,50,3789596,50.0,7.59
CONL,mstr_rsi,55,above,25,-20,30,35,3788265,54.3,10.83
CONL,mstr_pct_ma20,5,above,20,-15,20,42,3786951,59.5,9.03
CONL,mstr_rsi,55,above,25,-15,20,44,3779245,52.3,8.6
CONL,mstr_rsi,55,above,20,-15,20,47,3723879,55.3,7.93
CONL,mstr_pct_ma20,5,above,30,-20,45,31,3713412,58.1,11.99
CONL,btc_mstr_combo,55,above,25,-15,20,49,3704276,49.0,7.57
IREN,btc_rsi,50,above,20,-15,20,55,3677132,56.4,6.69
CONL,mstr_pct_ma20,0,above,20,-15,20,54,3669707,53.7,6.8
CONL,btc_mstr_combo,55,above,30,-20,45,33,3611354,54.5,10.95
CONL,mstr_rsi,55,above,15,-15,20,56,3607020,58.9,6.45
PTIR,btc_pct_ma20,-5,above,25,-15,20,36,3602224,58.3,10.02
CONL,btc_mstr_combo,60,above,30,-20,45,29,3601277,55.2,12.43
IREN,btc_rsi,40,above,15,-20,30,57,3586054,63.2,6.3
IREN,mstr_pct_ma20,0,above,30,-20,45,28,3542789,64.3,12.67
IREN,btc_rsi,50,above,20,-20,30,45,3510597,64.4,7.81
CONL,btc_mstr_combo,55,above,20,-15,20,50,3501334,54.0,7.01
IREN,btc_pct_ma20,0,above,20,-20,30,40,3498033,67.5,8.75
IREN,btc_pct_ma20,-5,above,12,-10,20,101,3494959,54.5,3.46
IREN,btc_pct_ma20,0,above,12,-10,20,72,3493957,59.7,4.86
PTIR,mstr_pct_ma20,0,above,30,-20,45,16,3493002,75.0,21.85
IREN,btc_pct_ma20,-5,above,30,-20,45,40,3470949,52.5,8.69
IREN,btc_rsi,40,above,15,-15,20,68,3456187,60.3,5.09
IREN,mstr_rsi,55,above,12,-10,20,55,3445224,61.8,6.27
CONL,mstr_rsi,60,above,20,-15,20,41,3433077,53.7,8.38
IREN,btc_pct_ma20,-5,above,25,-20,30,46,3400404,50.0,7.4
PTIR,mstr_rsi,55,above,30,-20,45,13,3387691,84.6,26.09
CONL,btc_pct_ma20,0,above,30,-20,45,41,3372481,48.8,8.23
CONL,mstr_pct_ma20,5,above,25,-20,30,34,3359661,55.9,9.89
CONL,btc_pct_ma20,0,above,25,-20,30,47,3359155,48.9,7.15
CONL,btc_momentum3,0,above,12,-10,20,105,3357114,54.3,3.2
IREN,btc_pct_ma20,0,above,25,-20,30,34,3351015,64.7,9.87
PTIR,btc_rsi,60,above,15,-20,30,23,3337397,82.6,14.52
CONL,btc_pct_ma20,0,above,20,-15,20,57,3309239,50.9,5.81
CONL,mstr_pct_ma20,0,above,25,-20,30,40,3306099,52.5,8.27
CONL,btc_momentum3,0,above,15,-15,20,86,3279830,55.8,3.82
PTIR,mstr_rsi,55,above,25,-20,30,15,3250203,86.7,21.69
CONL,btc_mstr_combo,55,above,25,-20,30,37,3228451,54.1,8.73
IREN,btc_rsi,60,above,30,-20,45,25,3227882,64.0,12.92
CONL,btc_mstr_combo,60,above,15,-15,20,44,3212889,61.4,7.31
PTIR,mstr_rsi,55,above,15,-15,20,25,3211885,80.0,12.86
PTIR,mstr_rsi,55,above,20,-15,20,21,3197596,76.2,15.24
IREN,btc_momentum3,0,above,25,-15,20,60,3184800,51.7,5.31
PTIR,btc_mstr_combo,55,above,20,-15,20,21,3177987,76.2,15.15
PTIR,mstr_pct_ma20,0,above,20,-15,20,24,3171744,75.0,13.23
CONL,btc_pct_ma20,0,above,15,-20,30,59,3168735,59.3,5.38
IREN,btc_rsi,60,above,25,-20,30,29,3147643,62.1,10.86
IREN,btc_pct_ma20,-5,above,15,-20,30,57,3138381,61.4,5.51
PTIR,mstr_pct_ma20,0,above,25,-15,20,21,3138264,76.2,14.96
CONL,btc_rsi,40,above,15,-15,20,86,3137672,48.8,3.65
PTIR,mstr_pct_ma20,5,above,20,-20,30,20,3128749,75.0,15.66
CONL,btc_mstr_combo,55,above,15,-20,30,51,3121920,62.7,6.13
IREN,mstr_pct_ma20,0,above,12,-10,20,59,3121103,57.6,5.3
PTIR,btc_mstr_combo,60,above,15,-20,30,19,3119522,89.5,16.43
CONL,mstr_pct_ma20,0,above,15,-20,30,56,3117950,62.5,5.57
PTIR,mstr_rsi,55,above,20,-20,30,19,3113148,78.9,16.4
CONL,btc_mstr_combo,60,above,20,-15,20,41,3104007,56.1,7.58
IREN,btc_rsi,40,above,20,-20,30,45,3102632,55.6,6.9
IREN,btc_rsi,50,above,25,-15,20,50,3098388,56.0,6.2
CONL,mstr_pct_ma20,5,above,20,-20,30,38,3090302,60.5,8.14
PTIR,mstr_rsi,55,above,15,-20,30,23,3089256,82.6,13.44
CONL,mstr_rsi,55,above,30,-20,45,31,3087090,51.6,9.97
IREN,btc_rsi,50,above,12,-10,20,75,3083677,58.7,4.12
PTIR,btc_rsi,40,above,12,-10,20,54,3083582,64.8,5.72
IREN,btc_rsi,50,above,15,-20,30,51,3079264,66.7,6.04
PTIR,btc_rsi,40,above,30,-20,45,25,3072775,60.0,12.3
IREN,btc_mstr_combo,55,above,20,-20,30,37,3067156,64.9,8.3
