ticker,strategy,target,stop,hold,n,pnl,wr,avg
IREN,bb_macd_vol,25,-20,30,26,4059799,73.1,15.63
IREN,adx_di_cross,30,-20,45,24,3962895,66.7,16.53
IREN,adx_di_cross,25,-20,30,26,3956830,73.1,15.23
IREN,macd_positive_rsi,30,-20,45,23,3956247,69.6,17.22
IREN,macd_positive_rsi,20,-20,30,26,3897175,76.9,15.0
IREN,adx_di_cross,20,-20,30,29,3834450,75.9,13.24
IREN,macd_hist_grow,30,-20,45,25,3827831,64.0,15.33
CONL,macd_hist_grow,20,-15,20,38,3810347,63.2,10.04
IREN,bb_high_pct,20,-20,30,29,3747944,75.9,12.94
IREN,bb_high_pct,30,-20,45,25,3687347,64.0,14.76
IREN,bb_macd_vol,30,-20,45,23,3683779,65.2,16.03
PTIR,macd_hist_grow,25,-20,30,15,3634124,86.7,24.25
IREN,bb_squeeze_break,30,-20,45,23,3582829,65.2,15.59
CONL,bb_high_pct,15,-20,30,40,3571477,70.0,8.94
IREN,macd_hist_grow,25,-20,30,26,3530310,69.2,13.59
PTIR,macd_positive_rsi,25,-20,30,15,3503941,86.7,23.38
IREN,macd_positive_rsi,15,-20,30,33,3482208,75.8,10.56
CONL,adx_di_cross,20,-15,20,38,3456040,63.2,9.1
IREN,adx_di_cross,12,-10,15,50,3448511,68.0,6.9
CONL,adx_di_cross,15,-20,30,42,3445289,69.0,8.21
IREN,bb_high_pct,25,-20,30,26,3419133,69.2,13.16
IREN,macd_hist_grow,20,-20,30,29,3384522,72.4,11.68
CONL,bb_high_pct,20,-15,20,37,3378638,62.2,9.14
PTIR,macd_hist_grow,20,-20,30,16,3360515,87.5,21.02
IREN,bb_squeeze_break,25,-20,30,24,3354135,66.7,13.99
IREN,macd_positive_rsi,25,-20,30,24,3313526,70.8,13.82
PTIR,macd_hist_grow,30,-20,45,12,3306857,83.3,27.58
PTIR,bb_high_pct,30,-20,45,13,3306742,84.6,25.46
PTIR,adx_di_cross,20,-20,30,15,3305756,86.7,22.06
PTIR,bb_mid_up,25,-20,30,14,3300810,85.7,23.6
CONL,adx_di_cross,25,-20,30,28,3291204,57.1,11.77
PTIR,adx_di_cross,30,-20,45,13,3287899,84.6,25.32
IREN,bb_high_pct_vol,25,-20,30,24,3284706,70.8,13.7
CONL,bb_squeeze_break,25,-15,20,31,3275634,58.1,10.58
CONL,bb_high_pct,15,-10,20,50,3237644,56.0,6.48
PTIR,bb_macd_vol,30,-20,45,10,3233142,90.0,32.36
CONL,macd_positive_rsi,20,-15,20,36,3228329,61.1,8.98
IREN,bb_high_pct,15,-20,30,36,3225451,75.0,8.97
PTIR,dual_mom_rsi,30,-20,45,13,3209521,84.6,24.71
IREN,dual_mom_rsi,30,-20,45,23,3208071,65.2,13.96
IREN,macd_hist_grow,12,-10,15,49,3206897,67.3,6.55
IREN,bb_macd_vol,15,-20,30,33,3189826,75.8,9.68
CONL,bb_macd_vol,30,-20,45,25,3189116,56.0,12.77
IREN,dual_mom_rsi,25,-20,30,24,3188608,70.8,13.3
IREN,bb_high_pct_vol,30,-20,45,20,3187655,65.0,15.95
PTIR,macd_positive_rsi,30,-20,45,12,3176675,83.3,26.5
IREN,bb_high_pct_vol,15,-20,30,31,3173649,77.4,10.25
CONL,bb_squeeze_break,20,-15,20,32,3161585,62.5,9.89
PTIR,bb_high_pct,15,-20,30,20,3159687,85.0,15.81
CONL,bb_squeeze_break,15,-20,30,35,3148606,68.6,9.01
PTIR,bb_squeeze_break,30,-20,45,12,3147683,83.3,26.26
PTIR,mom20_rsi,20,-20,30,15,3138539,86.7,20.94
PTIR,bb_high_pct,25,-15,20,17,3123608,88.2,18.39
PTIR,macd_hist_grow,15,-20,30,19,3117649,84.2,16.43
IREN,adx_di_cross,15,-20,30,36,3112571,75.0,8.65
PTIR,bb_mid_up,20,-20,30,14,3101813,85.7,22.18
CONL,adx_di_cross,20,-20,30,33,3101133,63.6,9.41
IREN,macd_positive_rsi,20,-15,20,28,3100541,71.4,11.08
CONL,macd_hist_grow,15,-20,30,42,3086059,66.7,7.36
CONL,macd_hist_grow,25,-20,30,29,3080321,55.2,10.63
PTIR,macd_positive_rsi,20,-20,30,17,3066190,82.4,18.05
IREN,breakout10_bull,30,-20,45,20,3064562,65.0,15.34
CONL,adx_di_cross,15,-10,20,52,3062699,55.8,5.9
IREN,mom20_rsi,25,-20,30,24,3047431,70.8,12.71
CONL,macd_hist_grow,20,-20,30,35,3036332,62.9,8.68
PTIR,adx_di_cross,15,-20,30,21,3033797,81.0,14.46
PTIR,adx_di_cross,25,-20,30,14,3024215,85.7,21.62
IREN,bb_squeeze_break,20,-20,30,28,3014682,71.4,10.78
CONL,vol_surge_up,30,-20,45,18,3010856,61.1,16.74
CONL,bb_squeeze_break,30,-20,45,23,3004545,56.5,13.08
CONL,bb_high_pct,12,-10,15,56,2998885,60.7,5.36
