ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
IREN,ret3_strong_btc,50,-25,45,1.0,3,False,16,11105921,68.8,20.27,2.5
PTIR,surge_follow_btc,50,-25,45,1.0,3,False,12,9631776,58.3,19.85,2.25
IREN,surge_follow_btc,30,-20,30,1.5,2,False,32,9171404,46.9,5.79,1.62
PTIR,surge_strong_btc2,50,-25,45,1.0,3,False,9,9124404,77.8,31.63,2.44
PTIR,surge_strong_btc2,40,-20,45,1.0,3,False,9,9037800,77.8,32.03,2.44
IREN,surge_follow_btc,50,-25,45,1.0,3,False,21,8960550,47.6,7.97,2.29
PTIR,surge_follow_btc,40,-20,45,1.0,3,False,12,8627288,58.3,18.6,2.33
IREN,surge_follow_btc,40,-20,45,1.0,3,False,25,8418428,44.0,5.85,2.12
IREN,ret3_strong_btc,30,-20,30,1.5,2,False,25,8173885,56.0,8.67,1.68
IREN,consec2_vol_btc,50,-25,45,1.0,3,False,13,8113549,61.5,18.28,2.23
CONL,rsi_accel,40,-20,30,2.0,1,False,19,8026858,68.4,21.14,1.0
PTIR,ret3_strong_btc,50,-25,45,1.0,3,False,10,7935912,60.0,23.0,2.5
CONL,rsi_accel,30,-20,30,1.5,2,False,22,7919255,54.5,9.68,1.59
IREN,ret5_surge_btc,30,-20,30,1.5,2,False,15,7882532,60.0,16.02,1.73
PTIR,rsi7_hot_btc2,50,-25,45,1.0,3,False,9,7877953,66.7,24.1,2.33
IREN,ret3_strong_btc,40,-20,45,1.0,3,False,20,7873614,55.0,10.75,2.25
CONL,rsi_accel,50,-25,45,1.0,3,False,15,7828897,53.3,14.02,2.33
IREN,consec3_btc2,50,-25,45,2.0,1,False,13,7794831,84.6,30.01,1.0
IREN,consec2_vol_btc,30,-20,30,1.5,2,False,21,7730180,61.9,12.21,1.57
CONL,rsi_accel,50,-25,45,2.0,1,False,16,7596779,62.5,23.76,1.0
IREN,consec3_btc2,40,-20,45,1.0,3,False,14,7498766,78.6,21.82,2.14
IREN,consec3_btc2,50,-25,45,1.0,3,False,12,7429715,75.0,25.69,2.25
CONL,surge_follow_btc,30,-20,30,1.5,2,False,33,7397175,48.5,4.6,1.64
IREN,consec2_vol_btc,50,-25,45,2.0,1,False,15,7386570,73.3,24.65,1.0
IREN,ret3_strong_btc,50,-25,45,2.0,1,False,19,7377982,57.9,19.44,1.0
PTIR,rsi7_hot_btc2,30,-20,30,1.5,2,False,12,7346928,66.7,17.78,1.58
IREN,bo10_macd_btc,30,-20,30,1.5,2,False,21,7316312,57.1,9.47,1.67
IREN,bo10_btc1plus,30,-20,30,1.5,2,False,21,7316312,57.1,9.47,1.67
IREN,ma_align60_btc2,40,-20,45,1.0,3,False,10,7306134,70.0,22.94,2.2
PTIR,bo5_btc2,30,-20,30,1.5,2,False,10,7256478,80.0,24.76,1.6
IREN,ret3_strong_btc,30,-20,30,2.0,1,False,25,7254340,64.0,14.52,1.0
PTIR,bo5_btc2,40,-20,45,1.0,3,False,8,7251629,75.0,29.04,2.38
PTIR,surge_strong_btc2,50,-25,45,2.0,1,False,9,7243925,77.8,40.28,1.0
IREN,rsi14_65_btc2,40,-20,45,1.0,3,False,11,7222468,63.6,17.97,2.45
PTIR,bo5_btc2,50,-25,45,1.0,3,False,8,7186863,62.5,26.45,2.25
IREN,rsi14_65_btc2,30,-20,30,1.5,2,False,16,7149851,56.2,13.27,1.69
IREN,consec2_vol_btc,40,-20,45,1.0,3,False,15,7147470,60.0,16.37,1.93
PTIR,ret3_strong_btc,40,-20,45,1.0,3,False,11,7110989,63.6,18.77,2.45
IREN,surge_follow_btc,40,-20,30,2.0,1,False,31,7110528,58.1,11.48,1.0
IREN,consec2_vol_btc,40,-20,30,2.0,1,False,20,7106800,60.0,17.78,1.0
IREN,rsi7_hot_btc2,30,-20,30,2.0,1,False,19,7104524,73.7,18.71,1.0
PTIR,rsi7_hot_btc2,40,-20,45,1.0,3,False,9,7102768,66.7,21.55,2.33
