ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,vcp_squeeze_bo,60,-25,60,3.0,13,17166350,76.9,44.06
IREN,hh_hl_rsi_btc,60,-25,60,3.0,16,14525653,62.5,30.29
IREN,hh_hl_rsi_btc,40,-20,45,3.0,19,13907383,68.4,24.42
IREN,bounce_btc1_rsi,60,-25,60,3.0,15,13898028,66.7,30.92
IREN,gap_up3_vol_btc,60,-25,60,3.0,13,13469212,69.2,34.57
IREN,bounce_btc2,60,-25,60,3.0,12,13328759,75.0,37.06
IREN,hh_hl_rsi_btc,50,-20,45,3.0,18,13145921,66.7,24.37
IREN,hh_hl_rsi_btc,50,-25,45,3.0,18,12986512,66.7,24.07
IREN,vcp_squeeze_bo,50,-20,45,3.0,14,12927398,78.6,30.81
IREN,vcp_squeeze_bo,50,-25,45,3.0,14,12855181,78.6,30.64
IREN,hh_hl_rsi_btc,40,-20,30,3.0,22,12688433,68.2,19.24
CONL,gap_up3_vol_btc,30,-20,30,3.0,19,12564647,68.4,22.07
CONL,hh_hl_ma_btc2,40,-20,45,3.0,22,12401913,54.5,18.81
IREN,hh_hl_rsi_btc,30,-20,45,3.0,23,12334617,69.6,17.89
IREN,hh_hl_rsi_btc,30,-20,30,3.0,25,12095697,72.0,16.14
CONL,gap_up3_vol_btc,15,-20,30,3.0,28,11876198,75.0,14.15
IREN,gap_hh_hl_btc2,60,-25,60,3.0,13,11845728,69.2,30.4
IREN,gap_up_btc2,40,-20,45,3.0,23,11799688,65.2,17.12
IREN,hh_hl_rsi_btc,30,-15,20,3.0,27,11722491,74.1,14.49
IREN,vcp_squeeze_bo,40,-20,45,3.0,15,11686245,73.3,26.0
IREN,bounce_btc1_rsi,30,-20,30,3.0,22,11599873,77.3,17.59
IREN,ma10_pull_vol,60,-25,60,3.0,8,11536673,87.5,48.12
IREN,vcp_squeeze_bo,60,-25,60,2.0,13,11444234,76.9,44.06
CONL,hh_hl_ma_btc2,60,-25,60,3.0,17,11388232,52.9,22.35
CONL,gap_up3_vol_btc,20,-20,30,3.0,25,11384355,72.0,15.19
IREN,hh_hl_btc2,60,-25,60,3.0,15,11365394,60.0,25.28
IREN,bounce_btc1_rsi,40,-20,30,3.0,22,11323191,68.2,17.17
IREN,gap_up_btc2,60,-25,60,3.0,17,11306568,58.8,22.19
IREN,hh_hl_rsi_btc,25,-20,30,3.0,26,11304348,73.1,14.51
IREN,hh_hl_rsi_btc,15,-20,30,3.0,33,11274708,78.8,11.4
IREN,gap_up3_btc1,60,-25,60,3.0,17,11257655,58.8,22.1
IREN,vcp_squeeze_bo,30,-20,45,3.0,16,11254301,81.2,23.47
IREN,hh_hl_ma_btc2,60,-25,60,3.0,15,11219596,60.0,24.96
IREN,gap_fill_up_btc2,40,-20,45,3.0,15,11175569,73.3,24.86
IREN,hh_hl_rsi_btc,20,-20,30,3.0,27,11145602,77.8,13.77
IREN,hh_hl_btc2,40,-20,45,3.0,17,11145011,70.6,21.87
IREN,bounce_btc1_rsi,25,-20,30,3.0,24,11074142,75.0,15.4
CONL,gap_up3_vol_btc,60,-25,60,3.0,14,11032091,64.3,26.29
CONL,gap_up3_vol_btc,40,-20,30,3.0,18,10870165,61.1,20.15
CONL,gap_up3_vol_btc,20,-15,20,3.0,25,10828100,68.0,14.45
IREN,hh_hl_ma_btc2,40,-20,45,3.0,17,10802844,70.6,21.2
CONL,gap_up3_vol_btc,30,-20,45,3.0,19,10782716,63.2,18.94
CONL,hh_hl_btc2,40,-20,45,3.0,25,10769545,48.0,14.37
IREN,gap_fill_up_btc2,30,-20,45,3.0,17,10626038,76.5,20.86
IREN,bounce_btc2,40,-20,30,3.0,19,10483802,68.4,18.41
IREN,hh_hl_btc2,50,-20,45,3.0,17,10434275,64.7,20.48
IREN,gap_up3_btc1,40,-20,30,3.0,27,10419468,59.3,12.88
CONL,bounce_btc2,50,-20,45,3.0,19,10418178,52.6,18.3
IREN,hh_hl_ma_btc2,30,-20,45,3.0,19,10369940,68.4,18.21
IREN,hh_hl_btc2,30,-20,45,3.0,19,10299430,68.4,18.09
IREN,gap_hh_hl_btc2,30,-20,45,3.0,16,10261407,75.0,21.4
CONL,bounce_btc2,50,-25,45,3.0,17,10220095,58.8,20.06
IREN,gap_up_btc2,50,-20,45,3.0,22,10172266,59.1,15.43
IREN,gap_up_btc2,50,-25,45,3.0,21,10116595,61.9,16.07
IREN,bounce_btc2,30,-20,30,3.0,19,10064017,78.9,17.67
IREN,vcp_squeeze_bo,30,-15,20,3.0,19,10047507,68.4,17.64
PTIR,ma10_pull_btc2,60,-25,60,3.0,7,10012852,85.7,47.73
IREN,nr5_bo_btc2,60,-25,60,3.0,7,9975068,85.7,47.55
IREN,bounce_btc2,25,-20,30,3.0,19,9862415,78.9,17.32
IREN,gap_up_btc2,40,-20,30,3.0,25,9861888,60.0,13.16
