ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,btc1_qqq_bull_rsi,60,-25,60,3.0,15,16758246,66.7,37.28
IREN,triple_surge,80,-25,90,3.0,9,16091375,77.8,59.66
IREN,vix_low_btc2,60,-25,60,3.0,14,15999242,71.4,38.13
IREN,soxl_bull_qqq,60,-25,60,3.0,16,15533062,62.5,32.39
IREN,vix_fall_qqq_bull,60,-25,60,3.0,19,15387039,52.6,27.02
IREN,vix_mid_btc1_rsi,60,-25,60,3.0,15,14894786,60.0,33.13
IREN,soxl_ret5_pos,80,-25,90,3.0,13,14746077,61.5,37.85
IREN,triple_regime_all,60,-25,60,3.0,13,14314485,69.2,36.74
IREN,soxl_bull_qqq,40,-20,30,3.0,24,14260141,66.7,19.83
IREN,vix_low_btc2,50,-25,60,3.0,14,14246170,71.4,33.95
IREN,vix_mid_btc1_rsi,30,-20,45,3.0,23,14111804,73.9,20.47
IREN,soxl_ret5_pos,50,-25,60,3.0,17,13991660,70.6,27.46
IREN,vix_spike_recover,60,-25,60,3.0,20,13949276,60.0,23.27
IREN,triple_surge,60,-25,60,3.0,10,13888647,80.0,46.34
IREN,btc1_qqq_bull_rsi,50,-25,60,3.0,17,13683701,64.7,26.86
IREN,coin_bull_btc2,80,-25,90,3.0,11,13679958,63.6,41.5
IREN,vix_low_btc2,80,-25,90,3.0,11,13357846,63.6,40.52
IREN,btc1_qqq_bull_rsi,30,-20,30,3.0,26,13352381,69.2,17.14
IREN,btc1_qqq_bull_rsi,30,-20,45,3.0,24,13276402,70.8,18.46
IREN,qqq_strong_consec,60,-25,60,3.0,16,13218209,62.5,27.57
IREN,triple_regime_all,50,-25,60,3.0,13,13206056,69.2,33.9
IREN,coin_ret5_btc2,80,-25,90,3.0,14,13130136,50.0,31.29
IREN,soxl_ret5_pos,60,-25,60,3.0,17,13076906,64.7,25.67
IREN,vix_mid_btc1_rsi,30,-20,30,3.0,24,13063202,70.8,18.16
IREN,qqq_strong_macd,60,-25,60,3.0,18,13021267,55.6,24.14
IREN,soxl_bull_qqq,30,-20,30,3.0,26,12973681,69.2,16.65
IREN,soxl_bull_qqq,25,-20,30,3.0,27,12855891,74.1,15.89
IREN,vix_mid_btc1_rsi,50,-25,60,3.0,18,12816097,61.1,23.76
IREN,vix_low_btc2,50,-25,45,3.0,14,12715278,78.6,30.3
IREN,soxl_ret5_pos,40,-20,45,3.0,24,12673282,58.3,17.62
