ticker,strategy,target,stop,hold,unit_mul,max_pyr,n,pnl,wr,avg,avg_layers
IREN,triple_regime_strong,80,-25,90,3.0,3,13,33750054,53.8,31.09,2.08
IREN,di_cross_surge_btc2,80,-25,90,3.0,3,9,32355506,66.7,47.63,2.67
IREN,bb_macd_adx_btc2,80,-25,90,3.0,3,9,30902645,66.7,44.59,2.56
IREN,hh_hl_rsi_btc,80,-25,90,3.0,3,10,29843539,60.0,38.13,2.6
IREN,triple_regime_all,80,-25,90,3.0,3,9,29676002,66.7,42.69,2.56
IREN,vix_falling_btc2,80,-25,90,3.0,3,13,29525849,46.2,24.84,2.15
IREN,consec3_surge,80,-25,90,3.0,3,11,28786530,54.5,32.27,2.45
IREN,rsi7_80_btc2,80,-25,90,3.0,3,8,28403677,75.0,51.78,2.75
IREN,qqq_strong_macd,80,-25,90,3.0,3,12,26842660,50.0,27.17,2.5
IREN,bo10_btc2_qqq,80,-25,90,3.0,3,9,26767628,77.8,44.57,2.11
IREN,consec4_btc1,80,-25,90,3.0,3,9,26150464,66.7,42.72,2.0
IREN,btc2_qqq_strong_vol,80,-25,90,3.0,3,10,25882578,60.0,36.35,2.2
IREN,rsi_accel_btc2_vol,80,-25,90,3.0,3,9,24984308,66.7,43.56,2.22
IREN,triple_regime_strong,80,-25,90,2.0,3,13,22500036,53.8,31.09,2.08
IREN,triple_regime_all,50,-25,45,3.0,3,13,22102041,76.9,23.8,2.31
IREN,di_cross_surge_btc2,80,-25,90,2.0,3,9,21570337,66.7,47.63,2.67
IREN,consec3_surge,50,-25,45,3.0,3,14,21003411,64.3,20.28,2.64
CONL,rsi7_80_btc2,80,-25,90,3.0,3,12,20674289,33.3,15.4,2.0
IREN,bb_macd_adx_btc2,80,-25,90,2.0,3,9,20601763,66.7,44.59,2.56
IREN,bb_macd_adx_btc2,50,-25,45,3.0,3,13,20225485,69.2,21.16,2.23
IREN,vix_falling_btc2,50,-25,45,3.0,3,19,19987726,42.1,8.51,1.95
IREN,hh_hl_rsi_btc,80,-25,90,2.0,3,10,19895692,60.0,38.13,2.6
