ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
IREN,j_btc_rsi_low_trend,80,-25,90,2.0,5,False,10,19786922,40.0,17.92,3.4
IREN,j_btc_rsi_low_trend,80,-25,90,3.0,3,True,13,19344635,46.2,18.01,2.15
IREN,j_btc_rsi_low_trend,60,-25,60,3.0,3,True,15,17907797,46.7,14.19,2.13
IREN,j_btc_rsi_low_trend,50,-25,45,3.0,3,False,11,16547022,54.5,18.14,2.55
PTIR,j_2cond_rsi_vix,80,-25,90,3.0,3,False,12,15802807,33.3,16.05,2.0
PTIR,j_2cond_rsi_vix,40,-20,30,5.0,1,False,21,15786171,57.1,15.05,1.0
IREN,j_btc_rsi_low_trend,60,-25,60,3.0,3,False,11,15713615,45.5,16.17,2.55
IREN,j_btc_rsi_low_trend,80,-25,90,3.0,3,False,10,15041083,40.0,16.85,2.5
IREN,j_btc_rsi_low_trend,40,-20,30,5.0,1,False,16,14883863,68.8,18.62,1.0
IREN,j_mstr_below_btc_low,80,-25,90,3.0,3,True,20,14739340,35.0,6.92,1.85
CONL,j_2cond_rsi_vix,60,-25,60,3.0,3,False,25,13544381,28.0,1.61,1.4
IREN,j_btc_rsi_low_trend,60,-25,60,2.0,5,False,10,13315610,40.0,11.15,3.4
IREN,j_btc_rsi_low_trend,50,-25,45,5.0,1,False,13,12385649,61.5,19.07,1.0
PTIR,j_di_vix_rsi,80,-25,90,3.0,3,False,5,12250856,60.0,39.44,2.2
IREN,j_2cond_rsi_vix,80,-25,90,3.0,3,False,11,12249743,45.5,20.82,1.55
PTIR,j_2cond_rsi_vix,80,-25,90,2.0,5,False,13,12215658,30.8,11.74,2.46
PTIR,j_2cond_rsi_vix,60,-25,60,3.0,3,False,14,12034549,42.9,11.59,1.86
PTIR,j_2cond_rsi_vix,40,-20,20,4.0,1,False,25,11700343,48.0,11.71,1.0
MSTX,j_di_vix_rsi,80,-25,90,2.0,5,False,3,11665773,33.3,38.04,2.33
MSTX,j_vix_optimal,80,-25,90,2.0,5,False,3,11405559,33.3,41.05,2.67
CONL,j_2cond_rsi_vix,80,-25,90,3.0,3,False,24,11303382,25.0,0.57,1.33
IREN,j_btc_rsi_low_trend,50,-25,45,2.0,3,False,11,11031348,54.5,18.14,2.55
PTIR,j_2cond_rsi_vix,30,-15,15,4.0,1,False,26,10996129,53.8,10.58,1.0
IREN,j_btc_rsi_low_trend,40,-20,20,4.0,1,False,18,10944362,61.1,15.22,1.0
PTIR,j_2cond_rsi_vix,50,-25,45,3.0,3,False,16,10941873,43.8,10.82,1.75
PTIR,j_btc_rsi_vix,80,-25,90,3.0,3,False,5,10930612,60.0,32.88,1.8
ROBN,j_2cond_pull_btcrsi,80,-25,90,3.0,3,False,3,10734353,100.0,70.23,2.0
ROBN,j_di_pullback,80,-25,90,3.0,3,False,3,10734353,100.0,70.23,2.0
PTIR,j_di_vix_rsi,80,-25,90,2.0,5,False,5,10531085,60.0,38.65,2.6
NVDL,j_mstr_below_btc_low,80,-25,90,3.0,3,False,10,10520415,40.0,8.75,2.0
IREN,j_mstr_below_btc_low,60,-25,60,3.0,3,False,11,10417460,45.5,14.59,2.36
PTIR,j_2cond_rsi_vix,60,-25,60,3.0,3,True,25,10373297,44.0,7.17,1.56
IREN,j_btc_rsi_low_trend,30,-15,15,4.0,1,False,19,10353650,68.4,13.64,1.0
IREN,j_2cond_rsi_vix,60,-25,60,3.0,3,False,14,10231675,57.1,15.03,1.57
CONL,j_2cond_rsi_vix,80,-25,90,3.0,3,True,36,10046683,33.3,0.64,1.33
IREN,j_mstr_below_btc_low,60,-25,60,3.0,3,True,23,10033994,26.1,2.5,1.74
ROBN,j_2cond_pull_btcrsi,50,-25,45,5.0,1,False,4,10032297,100.0,50.21,1.0
ROBN,j_di_pullback,50,-25,45,5.0,1,False,4,10032297,100.0,50.21,1.0
ROBN,j_2cond_rsi_vix,80,-25,90,3.0,3,False,14,9908169,42.9,8.13,1.43
PTIR,j_2cond_rsi_vix,80,-25,90,3.0,3,True,24,9729230,41.7,5.56,1.58
PTIR,j_btc_rsi_low_trend,80,-25,90,3.0,3,False,6,9693459,50.0,19.33,2.67
ROBN,j_btc_rsi_low_trend,80,-25,90,2.0,5,False,3,9649375,66.7,35.06,3.67
PTIR,j_2cond_rsi_vix,40,-20,30,3.0,1,False,21,9471703,57.1,15.05,1.0
IREN,j_mstr_below_btc_low,80,-25,90,3.0,3,False,9,9417674,44.4,17.5,2.22
