ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
CONL,j_vix_neutral_di_surge,80,-25,90,3.0,3,False,3,21399857,100.0,107.72,2.67
CONL,l_wide_macd_vol,80,-25,90,3.0,3,False,7,19777119,57.1,50.04,1.57
IREN,l_wide_btc_rsi_e,80,-25,90,3.0,3,False,7,18855834,71.4,41.8,2.43
CONL,j_vix_neutral_di_surge,80,-25,90,2.0,5,False,3,18526360,100.0,105.67,3.67
IREN,l_wide_macd_vol,50,-25,45,5.0,1,False,11,18014001,81.8,32.79,1.0
IREN,j_strong25_macd_di,80,-25,90,3.0,3,False,9,18008347,44.4,22.49,2.33
IREN,e4_consec3_surge_j,80,-25,90,3.0,3,False,4,17158134,100.0,84.94,2.0
PTIR,l_wide_macd_vol,80,-25,90,3.0,3,False,5,16712833,80.0,56.03,2.0
PTIR,e1_di_surge_j_macro,80,-25,90,3.0,3,False,6,16637735,66.7,37.73,2.33
IREN,j_strong25_vol_surge,80,-25,90,3.0,3,False,6,16432520,50.0,32.09,2.33
CONL,l_wide_btc_rsi_e,80,-25,90,3.0,3,False,5,16184860,60.0,53.36,2.2
IREN,e1_di_surge_j_macro,80,-25,90,3.0,3,False,7,15759568,71.4,55.0,1.71
IREN,l_wide_macd_vol,80,-25,90,3.0,3,False,8,15695210,62.5,40.15,1.62
CONL,j_vix_neutral_di_surge,100,-30,120,2.0,3,False,3,15471699,100.0,118.02,2.67
CONL,j_vix_neutral_di_surge,60,-25,60,3.0,3,False,3,15166435,100.0,76.48,2.67
IREN,j_strong25_vol_surge,60,-25,60,3.0,3,False,7,15043965,57.1,25.59,2.0
PTIR,l_champion_full,80,-25,90,3.0,3,False,6,15016315,66.7,32.66,2.17
CONL,j_strong25_vol_surge,80,-25,90,3.0,3,False,4,14870344,75.0,66.97,2.0
IREN,j_strong25_macd_di,60,-25,60,2.0,5,False,9,14765429,44.4,14.09,3.11
IREN,l_wide_btc_rsi_e,60,-25,60,3.0,3,False,7,14739102,71.4,31.28,2.57
