ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
IREN,variable_size_regime_var,variable,30,-20,45,27,7972009,63.0,14.12
CONL,variable_size_regime_var,variable,20,-15,20,42,6207812,59.5,7.93
IREN,variable_size_regime_var,variable,25,-20,30,32,5882929,65.6,9.83
PTIR,variable_size_regime_var,variable,20,-15,20,22,5506827,72.7,11.92
CONL,variable_size_regime_var,variable,30,-20,45,27,5506780,51.9,9.84
CONL,variable_size_regime_var,variable,15,-20,30,45,5492782,66.7,7.01
PTIR,variable_size_regime_var,variable,25,-15,20,21,5467829,71.4,13.01
PTIR,variable_size_regime_var,variable,20,-20,30,19,5436177,73.7,15.16
PTIR,variable_size_regime_var,variable,15,-20,30,22,5428161,81.8,13.44
IREN,variable_size_regime_var,variable,20,-20,30,34,5359420,67.6,8.67
CONL,variable_size_regime_var,variable,15,-15,20,50,5341060,60.0,6.2
PTIR,variable_size_regime_var,variable,15,-15,20,28,5231266,75.0,9.18
CONL,variable_size_regime_var,variable,25,-20,30,30,5230678,53.3,9.16
CONL,variable_size_regime_var,variable,20,-20,30,36,5217224,61.1,7.47
PTIR,variable_size_regime_var,variable,30,-20,45,16,5120346,68.8,17.55
IREN,low_vol_breakout,fixed,30,-20,45,19,4921860,84.2,25.93
IREN,variable_size_regime_var,variable,15,-20,30,40,4702582,70.0,6.47
IREN,low_vol_breakout,fixed,25,-20,30,21,4662337,81.0,22.22
PTIR,variable_size_regime_var,variable,25,-20,30,18,4629567,66.7,13.17
IREN,low_vol_breakout,fixed,20,-20,30,23,4448947,87.0,19.36
IREN,low_vol_bull,fixed,30,-20,45,20,4213465,75.0,21.09
IREN,btc_regime1plus,fixed,30,-20,45,27,4055238,63.0,15.03
IREN,btc_regime2_rsi,fixed,30,-20,45,19,4040921,73.7,21.29
NVDL,variable_size_regime_var,variable,15,-20,30,33,3998479,75.8,5.88
CONL,variable_size_regime_var,variable,25,-15,20,35,3992264,51.4,5.63
IREN,mon_tue_bull,fixed,30,-20,45,19,3987606,73.7,21.01
IREN,not_friday_bull,fixed,30,-20,45,27,3984283,63.0,14.77
