ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
IREN,di_cross_surge_btc2,80,-25,90,3.0,3,,False,9,33487539,66.7,47.99,2.67
IREN,bb_macd_adx_btc2,80,-25,90,3.0,3,,False,10,32455533,60.0,40.82,2.6
IREN,bb_macd_adx_btc2,80,-25,90,2.0,5,,False,10,29847818,60.0,39.14,3.8
IREN,consec3_surge,80,-25,90,3.0,3,,False,11,29400046,54.5,32.54,2.45
IREN,rsi7_80_btc2,80,-25,90,3.0,3,,False,8,29100004,75.0,51.89,2.75
IREN,consec4_btc1,80,-25,90,3.0,3,,False,9,26673098,66.7,42.97,2.0
IREN,bb_macd_adx_btc2,100,-30,120,2.0,5,,False,9,26259697,66.7,37.7,3.89
IREN,consec3_surge,60,-25,60,3.0,3,,False,13,25976178,61.5,24.98,2.54
IREN,consec3_surge,50,-25,45,5.0,1,,False,15,25704724,80.0,34.31,1.0
IREN,consec3_btc2_vol,80,-25,90,3.0,3,,False,8,25443850,75.0,50.24,2.25
CONL,rsi7_80_btc2,100,-30,180,2.0,5,,True,12,25115749,33.3,26.4,2.58
IREN,rsi_accel_btc2_vol,80,-25,90,3.0,3,,False,9,25088727,66.7,43.27,2.33
IREN,consec3_surge,60,-25,60,4.0,1,,False,13,24622793,84.6,47.4,1.0
CONL,bb_macd_adx_btc2,100,-30,180,2.0,5,,True,16,24230882,31.2,17.78,2.81
IREN,bo10_macd_btc2,80,-25,90,3.0,3,,False,10,24004865,60.0,36.04,2.0
IREN,rsi7_80_btc2,80,-25,90,2.0,5,,False,8,23015460,75.0,49.94,3.5
CONL,rsi7_80_btc2,100,-30,120,2.0,5,,False,9,22733106,44.4,33.85,3.0
CONL,di_cross_surge_btc2,100,-30,180,2.0,5,,True,18,22556321,22.2,11.37,2.39
IREN,consec3_surge,100,-30,120,2.0,5,,False,9,22478668,55.6,33.46,3.56
CONL,bo10_macd_btc2,100,-30,180,2.0,5,,True,12,22110164,33.3,23.49,2.42
IREN,bb_macd_adx_btc2,100,-30,180,2.0,5,,True,14,22062902,64.3,21.44,3.21
CONL,max_conviction,80,-25,90,3.0,3,,False,9,21679839,44.4,28.25,2.0
IREN,di_cross_surge_btc2,40,-20,30,5.0,1,,False,19,21664590,68.4,22.83,1.0
CONL,mstr5_bo10_btc2,100,-30,180,2.0,5,,True,11,21480772,36.4,26.77,2.45
IREN,bb_macd_adx_btc2,40,-20,30,5.0,1,,False,21,21444143,71.4,20.44,1.0
IREN,consec4_btc1,80,-25,90,2.0,5,,False,8,21340513,75.0,49.1,2.75
CONL,rsi7_80_btc2,80,-25,90,3.0,3,,False,12,21209488,33.3,15.69,2.0
CONL,rsi_accel_btc2_vol,80,-25,90,3.0,3,,False,9,21083855,44.4,29.65,1.78
IREN,di_cross_surge_btc2,100,-30,120,2.0,5,,False,8,20924968,62.5,36.78,3.62
IREN,di_cross_surge_btc2,80,-25,90,2.0,5,,False,9,20862169,66.7,36.89,3.44
CONL,mstr_over5_ret3_btc,100,-30,180,2.0,5,,True,14,20828202,35.7,19.86,2.14
CONL,bo10_macd_btc2,100,-30,120,2.0,5,,False,9,20766824,44.4,31.25,2.78
IREN,consec3_btc2_vol,60,-25,60,3.0,3,,False,9,20627135,66.7,36.5,2.11
