strategy,rebal_days,top_n,target,stop,unit_mul,btc_bull,n,pnl,wr,avg
rs_rotation,3,2,50,-25,3.0,True,75,34189676,60.0,15.21
rs_rotation,3,2,50,-25,3.0,False,67,30238825,49.3,15.06
rs_rotation,3,2,40,-20,3.0,True,82,29633900,59.8,12.06
sector_rotation,0,1,30,-20,3.0,True,96,27959973,57.3,9.72
sector_rotation,0,1,40,-20,3.0,True,88,27498855,54.5,10.43
sector_rotation,0,1,60,-25,3.0,True,76,27096089,53.9,11.9
sector_rotation,0,1,25,-20,3.0,True,103,26690984,60.2,8.65
sector_rotation,0,1,50,-25,3.0,True,78,25331089,55.1,10.84
rs_rotation,3,2,25,-20,3.0,True,100,25207860,62.0,8.41
rs_rotation,3,2,40,-20,3.0,False,86,25176200,48.8,9.77
rs_rotation,3,2,30,-20,3.0,True,95,24939910,60.0,8.76
sector_rotation,0,1,20,-15,3.0,True,127,24558502,57.5,6.45
rs_rotation,3,2,30,-20,3.0,False,102,23271741,52.9,7.61
rs_rotation,3,1,50,-25,3.0,False,53,23253323,49.1,14.64
rs_rotation,3,2,20,-15,3.0,True,113,23128310,61.9,6.83
rs_rotation,7,2,50,-25,3.0,False,60,23024507,46.7,12.8
rs_rotation,3,1,50,-25,3.0,True,52,22899874,53.8,14.69
rs_rotation,7,1,50,-25,3.0,False,37,22813487,54.1,20.57
rs_rotation,3,2,50,-25,2.0,True,75,22793117,60.0,15.21
rs_rotation,3,1,40,-20,3.0,False,63,22499452,50.8,11.92
rs_rotation,5,2,50,-25,3.0,True,64,22183234,59.4,11.57
rs_rotation,3,2,25,-20,3.0,False,109,21575949,56.9,6.6
rs_rotation,5,2,40,-20,3.0,True,70,21459483,58.6,10.23
rs_rotation,7,2,50,-25,3.0,True,55,21146880,60.0,12.83
rs_rotation,3,2,50,-25,2.0,False,67,20159217,49.3,15.06
rs_rotation,5,2,50,-25,3.0,False,61,20133949,44.3,11.01
rs_rotation,10,2,50,-25,3.0,False,49,20012516,46.9,13.63
rs_rotation,3,2,40,-20,2.0,True,82,19755934,59.8,12.06
rs_rotation,3,1,40,-20,3.0,True,56,19678462,53.6,11.73
rs_rotation,3,2,20,-15,3.0,False,137,19535430,54.7,4.76
rs_rotation,7,2,40,-20,3.0,False,69,19042671,47.8,9.21
rs_rotation,5,1,50,-25,3.0,True,44,18701612,56.8,14.18
rs_rotation,5,2,20,-15,3.0,True,85,18658752,63.5,7.32
sector_rotation,0,1,30,-20,2.0,True,96,18639982,57.3,9.72
rs_rotation,3,1,30,-20,3.0,False,72,18475766,55.6,8.56
rs_rotation,5,2,25,-20,3.0,True,78,18418534,64.1,7.88
sector_rotation,0,1,40,-20,2.0,True,88,18332570,54.5,10.43
rs_rotation,7,2,25,-20,3.0,False,85,18208367,57.6,7.15
rs_rotation,7,2,25,-20,3.0,True,65,18140500,63.1,9.31
sector_rotation,0,1,60,-25,2.0,True,76,18064059,53.9,11.9
sector_rotation,0,1,25,-20,2.0,True,103,17793989,60.2,8.65
rs_rotation,3,1,25,-20,3.0,False,77,17780938,58.4,7.71
rs_rotation,7,2,40,-20,3.0,True,59,17645287,57.6,9.98
rs_rotation,7,2,30,-20,3.0,False,78,17638014,53.8,7.55
rs_rotation,5,1,40,-20,3.0,True,48,17261354,58.3,12.0
