experiment,ticker,strategy,pnl,wr,n,avg
G,PORTFOLIO,rs_rotation,34189676,60.0,75,15.21
I,IREN,triple_regime_strong,33750054,53.8,13,31.09
E,IREN,di_cross_surge_btc2,33487539,66.7,9,47.99
E,IREN,bb_macd_adx_btc2,32455533,60.0,10,40.82
I,IREN,di_cross_surge_btc2,32355506,66.7,9,47.63
I,IREN,bb_macd_adx_btc2,30902645,66.7,9,44.59
G,PORTFOLIO,rs_rotation,30238825,49.3,67,15.06
E,IREN,bb_macd_adx_btc2,29847818,60.0,10,39.14
I,IREN,hh_hl_rsi_btc,29843539,60.0,10,38.13
I,IREN,triple_regime_all,29676002,66.7,9,42.69
G,PORTFOLIO,rs_rotation,29633900,59.8,82,12.06
I,IREN,vix_falling_btc2,29525849,46.2,13,24.84
E,IREN,consec3_surge,29400046,54.5,11,32.54
E,IREN,rsi7_80_btc2,29100004,75.0,8,51.89
I,IREN,consec3_surge,28786530,54.5,11,32.27
I,IREN,rsi7_80_btc2,28403677,75.0,8,51.78
G,PORTFOLIO,sector_rotation,27959973,57.3,96,9.72
G,PORTFOLIO,sector_rotation,27498855,54.5,88,10.43
G,PORTFOLIO,sector_rotation,27096089,53.9,76,11.9
I,IREN,qqq_strong_macd,26842660,50.0,12,27.17
I,IREN,bo10_btc2_qqq,26767628,77.8,9,44.57
G,PORTFOLIO,sector_rotation,26690984,60.2,103,8.65
E,IREN,consec4_btc1,26673098,66.7,9,42.97
E,IREN,bb_macd_adx_btc2,26259697,66.7,9,37.7
I,IREN,consec4_btc1,26150464,66.7,9,42.72
E,IREN,consec3_surge,25976178,61.5,13,24.98
I,IREN,btc2_qqq_strong_vol,25882578,60.0,10,36.35
E,IREN,consec3_surge,25704724,80.0,15,34.31
E,IREN,consec3_btc2_vol,25443850,75.0,8,50.24
G,PORTFOLIO,sector_rotation,25331089,55.1,78,10.84
G,PORTFOLIO,rs_rotation,25207860,62.0,100,8.41
G,PORTFOLIO,rs_rotation,25176200,48.8,86,9.77
E,CONL,rsi7_80_btc2,25115749,33.3,12,26.4
E,IREN,rsi_accel_btc2_vol,25088727,66.7,9,43.27
I,IREN,rsi_accel_btc2_vol,24984308,66.7,9,43.56
G,PORTFOLIO,rs_rotation,24939910,60.0,95,8.76
E,IREN,consec3_surge,24622793,84.6,13,47.4
G,PORTFOLIO,sector_rotation,24558502,57.5,127,6.45
E,CONL,bb_macd_adx_btc2,24230882,31.2,16,17.78
E,IREN,bo10_macd_btc2,24004865,60.0,10,36.04
G,PORTFOLIO,rs_rotation,23271741,52.9,102,7.61
G,PORTFOLIO,rs_rotation,23253323,49.1,53,14.64
G,PORTFOLIO,rs_rotation,23128310,61.9,113,6.83
G,PORTFOLIO,rs_rotation,23024507,46.7,60,12.8
E,IREN,rsi7_80_btc2,23015460,75.0,8,49.94
G,PORTFOLIO,rs_rotation,22899874,53.8,52,14.69
G,PORTFOLIO,rs_rotation,22813487,54.1,37,20.57
G,PORTFOLIO,rs_rotation,22793117,60.0,75,15.21
E,CONL,rsi7_80_btc2,22733106,44.4,9,33.85
E,CONL,di_cross_surge_btc2,22556321,22.2,18,11.37
I,IREN,triple_regime_strong,22500036,53.8,13,31.09
G,PORTFOLIO,rs_rotation,22499452,50.8,63,11.92
E,IREN,consec3_surge,22478668,55.6,9,33.46
G,PORTFOLIO,rs_rotation,22183234,59.4,64,11.57
E,CONL,bo10_macd_btc2,22110164,33.3,12,23.49
I,IREN,triple_regime_all,22102041,76.9,13,23.8
E,IREN,bb_macd_adx_btc2,22062902,64.3,14,21.44
E,CONL,max_conviction,21679839,44.4,9,28.25
E,IREN,di_cross_surge_btc2,21664590,68.4,19,22.83
G,PORTFOLIO,rs_rotation,21575949,56.9,109,6.6
I,IREN,di_cross_surge_btc2,21570337,66.7,9,47.63
E,CONL,mstr5_bo10_btc2,21480772,36.4,11,26.77
G,PORTFOLIO,rs_rotation,21459483,58.6,70,10.23
E,IREN,bb_macd_adx_btc2,21444143,71.4,21,20.44
E,IREN,consec4_btc1,21340513,75.0,8,49.1
E,CONL,rsi7_80_btc2,21209488,33.3,12,15.69
G,PORTFOLIO,rs_rotation,21146880,60.0,55,12.83
E,CONL,rsi_accel_btc2_vol,21083855,44.4,9,29.65
