window_days,direction,rank,start_date,end_date,net_cash_flow,avg_per_day
5,positive,1,2025-07-18,2025-07-22,52912329.0,10582465.8
5,positive,2,2024-11-16,2024-11-20,37954939.0,7590987.8
5,positive,3,2025-06-27,2025-07-01,26687757.0,5337551.4
5,positive,4,2025-07-06,2025-07-10,11672827.0,2334565.4
5,positive,5,2025-06-22,2025-06-26,3287065.0,657413.0
5,negative,1,2025-07-16,2025-07-20,-397386748.0,-79477349.6
5,negative,2,2025-07-23,2025-07-27,-45001566.0,-9000313.2
5,negative,3,2025-07-11,2025-07-15,-15748462.0,-3149692.4
5,negative,4,2025-07-02,2025-07-06,-7395104.0,-1479020.8
5,negative,5,2025-08-25,2025-08-29,-6411397.0,-1282279.4
10,positive,1,2024-11-11,2024-11-20,37834023.0,3783402.3
10,positive,2,2025-06-22,2025-07-01,29974822.0,2997482.2
10,positive,3,2025-07-18,2025-07-27,7910763.0,791076.3
10,positive,4,2024-03-03,2024-03-12,2445500.0,244550.0
10,positive,5,2025-05-22,2025-05-31,2211095.0,221109.5
10,negative,1,2025-07-11,2025-07-20,-413135210.0,-41313521.0
10,negative,2,2025-07-23,2025-08-01,-45015308.0,-4501530.8
10,negative,3,2025-08-23,2025-09-01,-7738134.0,-773813.4
10,negative,4,2024-11-21,2024-11-30,-4076822.0,-407682.2
10,negative,5,2024-09-23,2024-10-02,-3497408.0,-349740.8
