거래일자,거래구분,종목명,종목코드,환율,거래수량,거래대금_원,단가_원,수수료_원,제세금_원,변제연체합_원,잔고,잔액_원,거래대금_달러,단가_달러,수수료_달러,제세금_달러,변제연체합_달러,잔액_달러
2025.02.19,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,443.90",7,"86,720","12,388",86,0,0,151,"89,738",60.06,8.58,0.06,0.00,0.00,62.15
2025.02.20,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,440.60",6,"76,658","12,776",72,0,0,157,"90,801",53.2128,8.8688,0.05,0.00,0.00,63.03
2025.02.20,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,440.60",1,"12,792","12,792",0,0,0,158,"78,008",8.88,8.88,0.00,0.00,0.00,54.15
2025.02.21,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,439.40",5,"64,908","12,981",57,0,0,163,"12,983",45.094,9.0188,0.04,0.00,0.00,9.02
2025.02.21,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,439.40",1,"12,954","12,954",0,0,0,164,28,9.00,9.00,0.00,0.00,0.00,0.02
2025.02.24,판매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,434.10",8,"96,958","12,119",86,28,0,156,"96,859",67.6096,8.4512,0.06,0.02,0.00,67.54
2025.02.25,판매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,429.20",78,"937,660","12,021",928,42,0,78,"982,903",656.0736,8.4112,0.65,0.03,0.00,687.73
2025.02.25,구매,디렉시온 데일리 팔란티어 2배 롱 ETF,US25461A4452,"1,429.20",14,"1,014,246","72,446","1,000",0,0,14,0,709.66,50.69,0.70,0.00,0.00,0.00
2025.02.25,판매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,429.20",78,"936,411","12,005",928,42,"32,342",0,"903,097",655.20,8.40,0.65,0.03,22.63,631.89
2025.02.25,구매,디렉시온 데일리 팔란티어 2배 롱 ETF,US25461A4452,"1,429.20",12,"869,321","72,443",857,0,0,26,"32,928",608.2572,50.6881,0.60,0.00,0.00,23.04
2025.02.25,판매,디파이언스 스트래티지 2배 롱 ETF,US88636J2539,"1,429.20",6,"340,178","56,696",328,28,0,0,"372,749",238.02,39.67,0.23,0.02,0.00,260.81
2025.02.25,구매,디렉시온 데일리 팔란티어 2배 롱 ETF,US25461A4452,"1,429.20",5,"361,957","72,391",357,0,0,31,"10,447",253.2585,50.6517,0.25,0.00,0.00,7.31
2025.02.26,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,430.70",1,"10,429","10,429",0,0,0,1,"8,255",7.29,7.29,0.00,0.00,0.00,5.77
2025.02.27,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,431.80",1,"8,261","8,261",0,0,0,2,"7,345",5.77,5.77,0.00,0.00,0.00,5.13
2025.02.28,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,439.60",1,"7,385","7,385",0,0,0,3,"24,257",5.13,5.13,0.00,0.00,0.00,16.85
2025.03.03,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,439.60",1,"8,004","8,004",0,0,0,4,"93,818",5.56,5.56,0.00,0.00,0.00,65.17
2025.03.03,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,439.60",2,"16,235","8,117",14,0,0,6,"77,580",11.2776,5.6388,0.01,0.00,0.00,53.89
2025.03.04,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,458.70",2,"11,552","5,776",0,0,0,8,"96,172",7.92,3.96,0.00,0.00,0.00,65.93
2025.03.04,구매,디렉시온 데일리 팔란티어 2배 롱 ETF,US25461A4452,"1,458.70",1,"43,177","43,177",29,0,0,32,"52,965",29.60,29.60,0.02,0.00,0.00,36.31
2025.03.04,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,458.70",3,"17,854","5,951",14,0,0,11,"35,096",12.24,4.08,0.01,0.00,0.00,24.06
2025.03.04,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,458.70",1,"5,966","5,966",0,0,0,12,"29,130",4.09,4.09,0.00,0.00,0.00,19.97
2025.03.05,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,459.60",3,"26,623","8,874",14,0,0,15,"2,510",18.24,6.08,0.01,0.00,0.00,1.72
2025.03.05,판매,디렉시온 데일리 팔란티어 2배 롱 ETF,US25461A4452,"1,459.60",32,"1,505,840","47,057","1,503",43,0,0,"1,506,803","1,031.68",32.24,1.03,0.03,0.00,"1,032.34"
2025.03.05,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,459.60",167,"1,496,352","8,960","1,488",0,0,182,"8,976","1,025.1796",6.1388,1.02,0.00,0.00,6.15
2025.03.05,구매,T-REX 스트래티지 타겟 2배 ETF,US26923N1735,"1,459.60",1,"8,960","8,960",0,0,0,183,29,6.1388,6.1388,0.00,0.00,0.00,0.02
