symbol,isin,first_seen,last_seen,buy_count,sell_count,dividend_count,position_move_count,net_cash_flow,event_delta_sum
T-REX 로빈후드 데일리,,2025-05-06,2025-09-18,94,14,0,0,-55275853.0,80
T-REX 로빈후드 데일리 타겟,,2025-04-30,2025-07-18,21,14,0,0,59845143.0,7
T-REX 로빈후드 데일리 타겟 2배,,2025-05-12,2025-07-16,1,2,0,0,986829.0,-1
T-REX 로빈후드 데일리 타겟 2배 ETF,,2025-07-18,2025-07-18,1,0,0,0,-43870532.0,1
T-REX 스트래티지 데일리,,2025-08-20,2025-08-20,1,1,0,0,37181.0,0
T-REX 스트래티지 데일리 타겟,,2024-10-21,2024-10-22,1,1,0,0,-705.0,0
T-REX 스트래티지 타겟,,2024-09-25,2025-09-01,50,34,0,0,-7892536.0,16
T-REX 스트래티지 타겟 2배,,2025-03-19,2025-07-21,27,26,0,0,15866434.0,1
T-REX 스트래티지 타겟 2배 ETF,,2024-09-30,2025-07-21,78,39,0,0,25717249.0,39
T-REX 테슬라 데일리,,2024-02-29,2024-05-21,10,3,0,0,-1111269.0,7
T-REX 테슬라 데일리 타겟 2배,,2024-03-28,2024-04-02,4,0,0,0,-107213.0,4
게임스탑,US36467W1099,2025-06-18,2025-06-19,1,1,0,0,497.0,0
골드만삭스,US38141G1040,2025-07-17,2025-07-18,3,1,0,0,23802.0,2
그래닛셰어즈 AMD 데일리,,2025-07-18,2025-09-17,47,14,0,0,-19211248.0,33
그래닛셰어즈 알리바바 데일,,2025-07-14,2025-07-14,1,1,0,0,135491.0,0
그래닛셰어즈 애플 데일리,,2024-05-10,2024-05-16,4,1,0,0,3425.0,3
그래닛셰어즈 엔비디아,,2024-05-21,2025-09-17,17,11,0,0,-12607094.0,6
그래닛셰어즈 엔비디아 데일리,,2024-03-13,2025-08-20,19,8,0,2,7087228.0,11
그래닛셰어즈 엔비디아 데일리 2,,2025-07-16,2025-07-16,2,3,0,0,31929.0,-1
그래닛셰어즈 코인베이스,,2025-05-06,2025-09-16,78,74,0,1,-29791519.0,5
그래닛셰어즈 코인베이스 데일리,,2024-05-29,2025-09-18,52,44,0,0,48017310.0,8
디렉시온 TSMC 2배,,2025-07-22,2025-07-22,4,1,0,0,3885983.0,3
디렉시온 TSMC 2배 ETF,,2025-07-22,2025-07-22,4,1,0,0,-4099264.0,3
디렉시온 넷플릭스 2배,,2025-07-22,2025-07-22,4,0,0,0,-8346362.0,4
디렉시온 넷플릭스 2배 ETF,,2025-07-22,2025-07-22,0,1,0,0,7771268.0,-1
디렉시온 데일리 버크셔 해서웨이,,2025-03-18,2025-07-10,54,13,0,0,1476596.0,41
디렉시온 데일리 팔란티어,,2025-03-04,2025-07-15,9,8,0,0,10724226.0,1
디렉시온 데일리 팔란티어 2배,,2025-02-25,2025-07-14,5,2,0,0,-1731184.0,3
디렉시온 데일리 팔란티어 2배 롱,,2025-06-26,2025-06-26,1,0,0,0,-8180505.0,1
디렉시온 마이크로소프트,,2025-07-14,2025-07-15,3,3,0,0,-237316.0,0
디렉시온 미국 반도체,,2024-03-07,2025-07-18,7,5,0,0,371493.0,2
디렉시온 미국 반도체 3배,,2025-05-08,2025-08-20,3,3,0,0,100818.0,0
디렉시온 세계 금광 2배,,2025-06-25,2025-07-10,4,1,0,0,-343599.0,3
디렉시온 세계 금광 2배 ETF,,2025-06-25,2025-07-09,14,4,1,0,1549598.0,10
디렉시온 테슬라 2배,,2024-03-14,2025-07-11,2,1,0,0,-39371390.0,1
디렉시온 테슬라 2배 ETF,,2024-02-15,2025-07-15,29,11,1,0,43128465.0,18
디파이언스 스트래티,,2024-09-24,2024-09-25,1,1,0,0,36206.0,0
디파이언스 스트래티지 2배,,2025-07-21,2025-07-21,1,3,0,0,3639.0,-2
디파이언스 스트래티지 2배 롱,,2024-10-11,2025-04-17,12,7,1,1,10595913.0,4
디파이언스 스트래티지 2배 롱 ETF,,2024-10-17,2024-11-22,2,2,0,0,-4068780.0,0
디파이언스 아이온큐 2,,2025-07-14,2025-07-14,1,1,0,0,183687.0,0
디파이언스 힘스 앤 허스,,2025-07-22,2025-07-22,10,1,0,0,217782.0,9
