symbol,isin,first_buy_date,last_buy_date,buy_count,buy_amount_sum,sell_count,sell_amount_sum,net_cash_flow
써클 인터넷 그룹,,2025-06-19,2025-07-17,13,466473274.0,5,87857537.0,-378615737.0
T-REX 로빈후드 데일리 타겟,,2025-04-30,2025-07-18,21,298113713.0,14,357958856.0,59845143.0
T-REX 로빈후드 데일리,,2025-05-06,2025-09-18,94,281280644.0,14,226004791.0,-55275853.0
그래닛셰어즈 코인베이스,,2025-05-06,2025-09-15,78,280096113.0,74,250304594.0,-29791519.0
T-REX 스트래티지 타겟,,2024-09-25,2025-09-01,50,256890490.0,34,248997954.0,-7892536.0
T-REX 스트래티지 타겟 2배 ETF,,2024-10-10,2025-07-21,78,212720883.0,39,238438132.0,25717249.0
디렉시온 데일리 팔란티어,,2025-03-04,2025-07-15,9,170152173.0,8,180876399.0,10724226.0
그래닛셰어즈 엔비디아,,2025-07-11,2025-09-17,17,161029111.0,11,148422017.0,-12607094.0
그래닛셰어즈 코인베이스 데일리,,2024-05-29,2025-09-18,52,157648101.0,44,205665411.0,48017310.0
그래닛셰어즈 AMD 데일리,,2025-07-18,2025-09-17,47,151407731.0,14,132196483.0,-19211248.0
그래닛셰어즈 엔비디아 데일리,,2024-03-13,2025-08-13,19,132912363.0,8,139999591.0,7087228.0
T-REX 스트래티지 타겟 2배,,2025-03-19,2025-07-21,27,79071532.0,26,94937966.0,15866434.0
디렉시온 미국 반도체,,2024-03-07,2025-07-18,7,65149972.0,5,65521465.0,371493.0
디렉시온 테슬라 2배 ETF,,2024-02-15,2025-07-15,29,62073540.0,11,105200761.0,43127221.0
제이피모건 체이스,,2025-07-02,2025-07-16,3,49493326.0,6,50091653.0,598327.0
디파이언스 힘스 앤 허스,,2025-07-22,2025-07-22,10,44469316.0,1,44687098.0,217782.0
T-REX 로빈후드 데일리 타겟 2배 ETF,,2025-07-18,2025-07-18,1,43870532.0,0,0.0,-43870532.0
뱅크오브아메리카,US0605051046,2025-07-17,2025-07-18,4,43300436.0,3,43783217.0,482781.0
디렉시온 데일리 팔란티어 2배,,2025-02-25,2025-07-14,5,42758447.0,2,41027263.0,-1731184.0
디렉시온 마이크로소프트,,2025-07-14,2025-07-15,3,42713176.0,3,42475860.0,-237316.0
씨티그룹,US1729674242,2025-07-17,2025-07-17,53,42493070.0,2,43335475.0,842405.0
디파이언스 아이온큐 2,,2025-07-14,2025-07-14,1,41356681.0,1,41540368.0,183687.0
그래닛셰어즈 알리바바 데일,,2025-07-14,2025-07-14,1,40994296.0,1,41129787.0,135491.0
디렉시온 테슬라 2배,,2024-03-14,2025-07-11,2,39382649.0,1,11259.0,-39371390.0
레버리지 셰어즈 팔란티어,,2025-07-02,2025-07-11,6,39056368.0,2,39262854.0,206486.0
디파이언스 스트래티지 2배 롱,,2024-10-11,2025-04-16,12,31647449.0,7,42135141.0,10487692.0
비트코인 전략 2배 ETF,,2024-03-06,2024-05-30,13,21268315.0,8,26091009.0,4822694.0
스트래티지,US5949724083,2024-10-17,2024-10-17,1,14326336.0,1,13858567.0,-467769.0
디렉시온 데일리 버크셔 해서웨이,,2025-03-18,2025-07-09,54,12469567.0,13,13946163.0,1476596.0
골드만삭스,US38141G1040,2025-07-17,2025-07-17,3,11675607.0,1,11699409.0,23802.0
디렉시온 미국 반도체 3배,,2025-05-08,2025-08-20,3,11657948.0,3,11758766.0,100818.0
마이크로섹터 금광 3배 ETF,,2025-07-03,2025-07-09,3,10554945.0,3,10071842.0,-483103.0
코인베이스,US19260Q1076,2024-04-02,2025-06-25,6,10119494.0,3,10554127.0,434633.0
디렉시온 TSMC 2배 ETF,,2025-07-22,2025-07-22,4,9057144.0,1,4957880.0,-4099264.0
디렉시온 넷플릭스 2배,,2025-07-22,2025-07-22,4,8346362.0,0,0.0,-8346362.0
디렉시온 데일리 팔란티어 2배 롱,,2025-06-26,2025-06-26,1,8180505.0,0,0.0,-8180505.0
디렉시온 세계 금광 2배 ETF,,2025-06-25,2025-07-09,14,7478637.0,4,9027166.0,1548529.0
로빈후드,US7707001027,2025-04-30,2025-07-17,32,5968637.0,9,7292782.0,1324145.0
T-REX 테슬라 데일리,,2024-02-29,2024-03-28,10,5885538.0,3,4774269.0,-1111269.0
T-REX 스트래티지 데일리,,2025-08-20,2025-08-20,1,5775346.0,1,5812527.0,37181.0
버크셔 해서웨이 B,,2025-06-27,2025-07-15,5,5327561.0,4,5260644.0,-66917.0
빅베어 AI 홀딩스,,2025-07-03,2025-07-03,2,4629558.0,1,4404087.0,-225471.0
디파이언스 스트래티지 2배 롱 ETF,,2024-11-14,2024-11-22,2,4259994.0,2,191214.0,-4068780.0
이더리움 2배 ETF,,2024-08-29,2025-05-21,19,3793104.0,5,4280202.0,487098.0
레버리지 셰어즈 ASML 홀,,2025-07-21,2025-07-21,3,2622928.0,1,7644871.0,5021943.0
솔라나 2배 ETF,,2025-05-19,2025-05-21,6,2236800.0,1,2296566.0,59766.0
튜크리움 엑스알피(리플) 데일리,,2025-05-19,2025-05-19,2,1936157.0,0,0.0,-1936157.0
반에크 금광 ETF,,2025-06-25,2025-06-25,20,1933494.0,1,8302007.0,6368513.0
반에크 금광 ETF,US92189F1066,2025-06-25,2025-06-25,6,1793396.0,0,0.0,-1793396.0
비트코인 전략 2배 ETF,US92864M3016,2024-04-12,2024-07-30,12,1308096.0,1,218450.0,-1089646.0
디렉시온 TSMC 2배,,2025-07-22,2025-07-22,4,1259028.0,1,5145011.0,3885983.0
디파이언스 스트래티,,2024-09-24,2024-09-24,1,1030738.0,1,1066944.0,36206.0
마이크로섹터 미국 은행 3배 ETN,,2025-07-16,2025-07-17,3,715738.0,2,374653.0,-341085.0
이더리움 2배 ETF,US92864M7983,2024-07-04,2024-10-01,19,621208.0,2,51425.0,-569783.0
디파이언스 스트래티지 2배,,2025-07-21,2025-07-21,1,608566.0,3,612205.0,3639.0
튜크리움 엑스알피(리플),,2025-05-19,2025-05-21,4,591205.0,6,2429948.0,1838743.0
T-REX 로빈후드 데일리 타겟 2배,,2025-07-16,2025-07-16,1,453070.0,2,1439899.0,986829.0
디렉시온 세계 금광 2배,,2025-06-25,2025-06-25,4,413975.0,1,70376.0,-343599.0
그래닛셰어즈 애플 데일리,,2024-05-10,2024-05-15,4,354424.0,1,357849.0,3425.0
그래닛셰어즈 엔비디아 데일리 2,,2025-07-16,2025-07-16,2,265142.0,3,297071.0,31929.0
프로셰어즈 트러스트 울트라 비트코인,,2024-09-16,2025-04-29,5,211551.0,1,164484.0,-47067.0
T-REX 테슬라 데일리 타겟 2배,,2024-03-28,2024-04-02,4,107213.0,0,0.0,-107213.0
마이크로섹터 금광 3배,,2025-06-25,2025-06-25,1,102388.0,0,0.0,-102388.0
스프랏 금 현물 신탁 펀드,,2025-05-08,2025-05-08,1,35938.0,1,35969.0,31.0
프로셰어즈 트러스트,,2024-09-23,2024-09-23,1,33382.0,1,104246.0,70864.0
게임스탑,US36467W1099,2025-06-18,2025-06-18,1,31114.0,1,31611.0,497.0
프로셰어즈 비트코인 선물 ETF,,2024-04-02,2024-10-30,3,31034.0,2,31437.0,403.0
프로셰어즈 비트코인 선물,,2024-04-19,2024-04-23,3,14103.0,2,15948.0,1845.0
T-REX 스트래티지 데일리 타겟,,2024-10-21,2024-10-21,1,12764.0,1,12059.0,-705.0
일드맥스 코인베이스 옵션,,2025-05-23,2025-05-23,1,12267.0,0,0.0,-12267.0
비트 오리진,,2025-04-29,2025-04-29,4,4814.0,1,4859.0,45.0
